ST_CASE,VEH_NO,PER_NO,YEAR,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10
10222,1,1,1989,0,0,0,0,0,0,0,0,0,0
10222,2,1,1989,0,0,0,0,0,0,0,0,0,0
10223,1,1,1989,18,18,18,18,18,18,18,18,18,18
10223,2,1,1989,0,0,0,0,0,0,0,0,8,0
10224,0,1,1989,0,0,0,0,0,0,0,0,0,0
10224,1,1,1989,0,0,0,5,0,0,0,12,0,12
10225,1,1,1989,0,0,0,0,0,0,0,0,0,0
10225,2,1,1989,0,0,0,0,0,0,0,0,0,0
10226,1,1,1989,0,0,0,0,0,0,0,0,0,0
10226,2,1,1989,0,0,0,0,0,0,0,0,0,0
10227,0,1,1989,0,34,0,25,30,29,0,0,33,15
10227,1,1,1989,11,0,0,4,0,0,0,6,12,0
10228,1,1,1989,0,0,0,17,0,0,0,0,0,0
10229,1,1,1989,0,0,0,0,0,0,0,0,0,0
10229,2,1,1989,0,0,0,0,0,0,0,0,0,0
10230,1,1,1989,2,2,2,2,2,2,2,2,2,2
10231,1,1,1989,0,0,0,0,0,0,0,0,0,0
10231,2,1,1989,29,6,5,3,6,13,16,5,8,13
10232,1,1,1989,28,28,28,28,28,28,28,28,28,28
10233,1,1,1989,59,59,59,59,59,59,59,59,59,59
10234,1,1,1989,0,0,0,0,0,0,0,0,0,11
10234,2,1,1989,21,30,18,11,0,15,12,3,21,14
10235,1,1,1989,22,22,22,22,22,22,22,22,22,22
10236,1,1,1989,0,0,0,0,0,0,0,0,0,0
10237,1,1,1989,27,27,27,27,27,27,27,27,27,27
10238,1,1,1989,0,0,0,0,0,0,0,0,0,0
10238,2,1,1989,19,19,19,19,19,19,19,19,19,19
10239,1,1,1989,0,0,0,0,0,0,0,0,0,0
10239,2,1,1989,11,0,0,0,0,0,0,0,0,0
10239,3,1,1989,0,0,0,0,0,0,0,0,0,0
10239,4,1,1989,0,0,0,0,0,0,0,0,0,0
10240,1,1,1989,0,0,11,13,0,0,0,0,0,2
10241,1,1,1989,0,0,0,0,0,0,0,0,0,0
10241,2,1,1989,0,0,0,0,0,0,0,0,0,0
10242,1,1,1989,26,26,26,26,26,26,26,26,26,26
10243,1,1,1989,0,0,0,0,0,0,0,0,0,0
10243,2,1,1989,0,0,0,0,0,0,11,0,0,0
10244,1,1,1989,0,0,0,0,0,0,0,0,0,0
10244,2,1,1989,0,0,0,0,0,0,0,0,0,0
10245,1,1,1989,0,0,0,0,0,0,0,0,0,0
10246,1,1,1989,0,0,0,0,0,0,0,0,0,0
10246,2,1,1989,0,0,0,0,0,0,0,0,0,0
10247,1,1,1989,0,14,11,23,20,31,6,22,18,15
10247,2,1,1989,0,0,0,0,0,0,0,0,0,0
10248,1,1,1989,10,0,7,10,32,25,5,13,22,16
10249,1,1,1989,0,0,0,0,0,0,0,0,20,0
10249,2,1,1989,0,0,0,0,0,0,0,0,0,0
10250,1,1,1989,9,9,9,9,9,9,9,9,9,9
10251,1,1,1989,0,0,0,0,0,0,0,0,0,0
10251,2,1,1989,0,0,0,9,0,0,0,0,13,0
10252,1,1,1989,0,0,0,0,0,0,0,0,0,0
10252,2,1,1989,0,0,0,0,0,0,0,0,0,0
10253,1,1,1989,19,19,19,19,19,19,19,19,19,19
10254,1,1,1989,0,0,0,0,0,0,0,0,0,0
10254,2,1,1989,0,0,0,0,0,0,0,0,0,0
10254,3,1,1989,8,0,0,0,0,0,0,0,0,0
10255,1,1,1989,23,23,23,23,23,23,23,23,23,23
10256,1,1,1989,10,10,10,10,10,10,10,10,10,10
10257,1,1,1989,31,31,31,31,31,31,31,31,31,31
10258,0,1,1989,32,32,32,32,32,32,32,32,32,32
10258,1,1,1989,0,0,0,0,0,0,0,0,0,0
10259,1,1,1989,0,0,0,0,0,0,0,0,0,0
10259,2,1,1989,0,0,0,0,0,0,0,0,0,0
10259,3,1,1989,0,0,0,0,0,0,0,0,0,0
10260,0,1,1989,0,0,0,0,0,0,0,0,0,0
10260,1,1,1989,0,0,0,0,0,0,0,0,0,0
10261,1,1,1989,0,0,0,0,0,0,0,0,0,0
10261,2,1,1989,0,0,0,0,0,0,0,0,0,0
10262,1,1,1989,0,0,0,0,0,0,0,0,0,0
10263,0,1,1989,24,24,24,24,24,24,24,24,24,24
10263,1,1,1989,0,12,0,0,15,0,0,42,3,0
10264,1,1,1989,12,0,0,0,0,0,0,0,0,0
10264,2,1,1989,11,11,11,11,11,11,11,11,11,11
10265,1,1,1989,0,0,0,0,0,0,0,0,0,0
10265,2,1,1989,0,0,0,0,0,0,0,0,0,0
10266,1,1,1989,13,25,19,12,20,30,17,12,21,15
10267,1,1,1989,20,20,20,20,20,20,20,20,20,20
10268,1,1,1989,0,0,12,0,0,0,0,0,0,0
10268,2,1,1989,0,22,0,0,0,0,0,0,0,0
10269,1,1,1989,12,12,21,16,17,27,9,17,21,25
10270,1,1,1989,0,0,0,0,0,0,0,0,0,0
10271,1,1,1989,21,0,0,0,0,0,4,0,0,0
10271,2,1,1989,0,0,0,0,0,0,0,0,0,0
10271,3,1,1989,0,0,0,0,0,0,0,0,0,0
10272,1,1,1989,0,0,0,0,0,0,0,0,0,0
10272,2,1,1989,0,0,0,0,0,0,0,0,0,0
10273,1,1,1989,0,26,33,0,30,0,21,38,19,13
10274,0,1,1989,0,0,0,29,0,0,0,0,45,0
10274,1,1,1989,0,0,0,0,0,0,0,0,0,0
10275,1,1,1989,0,0,0,0,0,0,0,0,0,0
10276,1,1,1989,18,18,18,18,18,18,18,18,18,18
10276,2,1,1989,0,0,0,0,0,0,0,0,0,0
10277,1,1,1989,33,33,33,33,33,33,33,33,33,33
10278,1,1,1989,21,21,21,21,21,21,21,21,21,21
10279,1,1,1989,0,0,0,0,0,0,0,0,0,0
10280,1,1,1989,13,13,13,13,13,13,13,13,13,13
10281,1,1,1989,23,23,23,23,23,23,23,23,23,23
