ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
440052,1989,0,0,0,0,0,0,0,0,0,0
440053,1989,0,0,0,0,0,0,0,0,0,0
440054,1989,21,21,21,21,21,21,21,21,21,21
440055,1989,0,0,0,0,0,0,0,0,0,0
440056,1989,8,24,8,17,10,20,21,22,11,14
440057,1989,19,15,24,21,12,11,23,17,17,9
440058,1989,0,0,0,0,0,0,0,0,0,0
440059,1989,0,0,12,0,0,0,0,0,0,0
440060,1989,0,0,13,0,0,0,0,0,0,0
440061,1989,0,0,0,0,0,0,0,0,0,0
440062,1989,3,11,17,15,11,5,8,17,14,14
440063,1989,0,0,0,0,0,0,0,0,0,0
440064,1989,6,6,6,6,6,6,6,6,6,6
440065,1989,25,25,25,25,25,25,25,25,25,25
440066,1989,33,33,33,33,33,33,33,33,33,33
440067,1989,28,28,28,28,28,28,28,28,28,28
440068,1989,0,0,0,0,0,0,0,0,0,0
440069,1989,6,18,0,16,21,0,0,10,0,15
440070,1989,20,20,20,20,20,20,20,20,20,20
440071,1989,0,0,0,0,0,0,0,0,10,0
440072,1989,18,15,0,6,21,35,9,4,10,2
440073,1989,32,30,12,14,22,13,32,12,29,6
440074,1989,15,0,11,0,0,30,0,0,0,0
440075,1989,0,0,0,0,0,0,0,0,0,0
440076,1989,0,0,26,0,13,26,18,0,10,0
440077,1989,15,0,0,0,0,0,0,0,0,0
440078,1989,28,28,28,28,28,28,28,28,28,28
440079,1989,4,9,8,16,9,12,13,19,10,17
440080,1989,0,0,0,17,0,0,0,0,0,23
440081,1989,19,19,19,19,19,19,19,19,19,19
440082,1989,0,0,0,0,0,0,0,0,0,0
440083,1989,20,20,20,20,20,20,20,20,20,20
440084,1989,19,19,19,19,19,19,19,19,19,24
440085,1989,17,17,17,17,17,17,17,17,17,17
440086,1989,17,17,17,17,23,17,17,17,17,17
440087,1989,0,20,23,0,0,21,24,0,0,0
440088,1989,14,14,14,14,14,14,14,14,14,14
