ST_CASE,YEAR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
100045,1984,0,0,0,0,0,0,0,0,0,0
100046,1984,6,6,6,6,6,6,6,6,6,6
100047,1984,16,16,16,16,16,16,16,16,16,16
100048,1984,0,0,0,0,0,0,0,0,0,0
100049,1984,0,0,0,0,0,0,0,0,0,0
100050,1984,21,22,8,0,3,12,0,0,27,10
100051,1984,0,0,0,0,0,0,0,0,0,0
100052,1984,13,13,13,13,13,13,13,13,13,13
100053,1984,0,0,0,0,0,0,0,0,0,0
100054,1984,10,10,10,10,10,10,10,10,10,10
100055,1984,8,0,6,0,0,0,0,0,18,10
100056,1984,0,0,0,0,0,0,0,0,0,0
100057,1984,0,0,0,2,0,0,0,0,0,0
100058,1984,2,2,2,2,2,2,2,2,2,2
100059,1984,0,0,0,0,0,0,0,0,0,0
100060,1984,5,5,5,5,5,5,5,5,5,5
100061,1984,0,0,0,0,0,0,0,0,0,0
100062,1984,0,0,0,0,0,0,0,0,0,0
100063,1984,0,0,0,0,0,0,0,0,0,0
100064,1984,0,0,0,0,0,0,0,0,0,0
100065,1984,0,0,0,0,0,0,0,0,0,0
100066,1984,0,0,0,0,0,0,0,0,0,0
100067,1984,0,0,0,0,0,0,0,0,0,0
100068,1984,0,0,0,0,0,0,0,0,0,0
100069,1984,11,0,0,33,0,0,20,0,0,18
100070,1984,0,0,0,0,0,0,0,0,0,0
100071,1984,16,16,16,16,16,16,16,16,16,16
100072,1984,18,18,18,18,18,18,18,18,18,18
100073,1984,0,0,0,0,0,0,0,0,0,0
100074,1984,0,0,0,0,0,0,0,0,0,0
100075,1984,0,0,0,0,0,0,0,0,0,0
100076,1984,19,19,19,19,19,19,19,19,19,19
100077,1984,11,11,11,11,11,11,11,11,11,11
100078,1984,0,0,0,0,0,0,0,0,0,0
100079,1984,0,0,0,0,0,0,0,0,0,0
100080,1984,22,22,22,22,22,22,22,22,22,22
100081,1984,0,0,0,0,0,0,0,0,0,0
100082,1984,12,12,12,12,12,12,12,12,12,12
100083,1984,12,12,12,12,12,12,12,12,12,12
100084,1984,0,0,0,0,0,0,0,0,0,0
100085,1984,0,0,0,0,0,0,0,0,0,0
100086,1984,5,5,5,5,5,5,5,5,5,5
100087,1984,0,0,0,0,0,0,0,0,0,0
100088,1984,0,0,0,0,0,0,0,0,0,0
100089,1984,0,0,0,0,0,0,0,0,0,0
100090,1984,20,20,20,20,20,20,20,20,20,20
100091,1984,0,0,0,0,0,0,0,0,0,0
100092,1984,29,23,10,21,23,19,16,22,10,26
100093,1984,0,0,0,0,0,0,0,0,0,0
100094,1984,23,23,23,23,23,23,23,23,23,23
100095,1984,0,0,0,0,0,0,0,0,0,0
